# SNAP pin export table
#
# Product:	indices_20160510_SH_L8_sand_megarippel_tao
# Created on:	Thu Aug 24 17:08:00 CEST 2017

# Wavelength:								0.0	0.0	0.0	482.6	561.3	654.60004	864.6	1609.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	flh	muschelindex	ndvi	reflec_483	reflec_561	reflec_655	reflec_865	reflec_1609	reflec_sum	sand-tr_abundance	sand-wc_abundance	schatten_abundance	steigung_nIR_SWIR1	steigung_red_nIR	summary_error
pin_1	1483.4983658227682	1062.4973500302062	8.473702999999992	54.94771599999999	java.awt.Color[r=0,g=0,b=255]	Pin 1		0.0055861883	0.13533255	0.20833927	0.034195855	0.059994273	0.07837	0.11961885	0.031178463	0.25798312	0.057551146	1.2722377	-0.32978877	-0.11880762	0.19642311	0.0016745259
pin_2	1443.5002587887789	1104.5010031983877	8.455122999999995	54.93630999999999	java.awt.Color[r=0,g=0,b=255]	Pin 2		0.0032381862	0.0889376	0.21708798	0.025062514	0.045477882	0.06260351	0.09732126	-9.939016E-5	0.20540264	-0.1725972	1.2924027	-0.11980558	-0.13087137	0.16532262	0.002807453
pin_5	1432.5003951323451	1537.4980390841451	8.45155999999999	54.81955700000001	java.awt.Color[r=0,g=0,b=255]	Pin 5		0.0058655553	0.20016725	0.21106511	0.04412006	0.073209554	0.09487634	0.14564121	0.035209376	0.3137271	0.041176327	1.5909775	-0.63215387	-0.14835013	0.24173748	0.0029429325
pin_9	1866.500762605116	1839.5011687269123	8.654878999999994	54.73888399999999	java.awt.Color[r=0,g=0,b=255]	Pin 9		0.0064129215	0.24084419	0.22182658	0.046058983	0.0781589	0.10219831	0.16046374	0.05949691	0.34082094	0.23886444	1.4824635	-0.72132784	-0.13563518	0.27745444	0.0026518167
pin_12	1715.5002340151514	2179.4997004335746	8.585455999999999	54.647000000000006	java.awt.Color[r=0,g=0,b=255]	Pin 12		0.0052326135	0.12281242	0.19546828	0.030215962	0.056524627	0.076278	0.11334287	0.002451822	0.24614549	-0.18965626	1.5164946	-0.32683837	-0.14896701	0.17649938	0.0019701547
pin_13	1502.5014487332276	2217.503191309422	8.486563999999998	54.636374999999965	java.awt.Color[r=0,g=0,b=255]	Pin 13		0.007982435	0.14202373	0.27695236	0.029603666	0.0566777	0.071328655	0.12597136	0.01038609	0.25397772	-0.1296188	1.4965231	-0.36690438	-0.15527308	0.2602034	0.004568263
pin_14	2200.501655438546	2269.4889320594257	8.811048	54.623300000000015	java.awt.Color[r=0,g=0,b=255]	Pin 14		0.0038313046	0.109314434	0.23877683	0.025292119	0.048156656	0.06688955	0.10885273	0.073656134	0.22389893	0.46042815	0.58438724	-0.044815417	-0.04728183	0.1998247	0.0038879754
pin_16	1534.4992299059018	1752.5002102492997	8.499895999999996	54.7618	java.awt.Color[r=0,g=0,b=255]	Pin 16		0.0041815434	0.12580521	0.20089503	0.028761772	0.054789804	0.07650761	0.114975646	0.004824448	0.24627307	-0.16925514	1.4930913	-0.3238362	-0.14797314	0.18318112	0.0024239612
pin_17	1725.4991661110641	1741.5001323070999	8.588911999999999	54.7651	java.awt.Color[r=0,g=0,b=255]	Pin 17		0.0071788747	0.15327983	0.22865696	0.034655064	0.06285163	0.080589555	0.1283695	0.03128051	0.27181068	0.038838387	1.3695683	-0.4084067	-0.13042583	0.22752355	0.0019618766
pin_18	1781.4991302933486	1558.5065243578827	8.614553	54.81452000000001	java.awt.Color[r=0,g=0,b=255]	Pin 18		0.0036096126	0.111125715	0.21516098	0.026618754	0.050172113	0.07020612	0.108699664	0.012197451	0.2290779	-0.091011755	1.3084413	-0.21742949	-0.12963758	0.18330261	0.0023984024
pin_19	1924.4998407125668	1788.4918501551263	8.681795999999999	54.752709999999965	java.awt.Color[r=0,g=0,b=255]	Pin 19		0.0048652496	0.10444637	0.1981768	0.027511677	0.051830396	0.07002754	0.10464323	0.01750397	0.22650117	-0.039784748	1.2246822	-0.18489741	-0.11705974	0.16483666	0.0013352783
pin_20	1924.5004780469192	2031.4991104800874	8.682309	54.687194999999996	java.awt.Color[r=0,g=0,b=255]	Pin 20		0.003053043	0.11063795	0.21536714	0.027231043	0.04986596	0.07002754	0.10847005	0.02594848	0.22836354	0.02807945	1.1555675	-0.18364699	-0.110856496	0.18305962	0.0021603447
pin_21	1367.499972825707	2082.4958339989184	8.423304999999985	54.672489999999975	java.awt.Color[r=0,g=0,b=255]	Pin 21		0.00890561	0.15777759	0.17802617	0.041135147	0.07193394	0.08898304	0.1275276	0.007299124	0.28844458	-0.18291186	1.7260537	-0.5431419	-0.16151057	0.18354553	0.0038916422
pin_22	1257.5012257742774	2084.4976346567896	8.37214499999998	54.67169599999994	java.awt.Color[r=0,g=0,b=255]	Pin 22		0.005575571	0.13438515	0.20546554	0.031542584	0.058591105	0.07847205	0.11905758	0.015896706	0.25612074	-0.08043412	1.4320042	-0.35157004	-0.13858259	0.19326445	0.001525322
pin_23	2013.5017721736533	1982.4881574289252	8.723637	54.70051000000001	java.awt.Color[r=0,g=0,b=255]	Pin 23		0.004460981	0.10791395	0.20708403	0.03353253	0.054738782	0.07012958	0.10676074	0.09699972	0.2316291	0.74759024	0.25956613	-0.0071563604	-0.013112602	0.17443411	0.002828259
pin_24	2029.500530016333	2054.507815761833	8.731213	54.68111	java.awt.Color[r=0,g=0,b=255]	Pin 24		0.0021872781	0.07908009	0.23516229	0.021924524	0.040273406	0.057245962	0.09244844	0.03329597	0.18996781	0.1454568	0.8086863	0.045856863	-0.079463296	0.16763088	0.0025623993
pin_25	1968.4999303131112	2334.501634938394	8.70338	54.605556	java.awt.Color[r=0,g=0,b=255]	Pin 25		0.0054486543	0.13286993	0.1906433	0.036338866	0.061754614	0.07997726	0.11765441	0.031841777	0.2593863	0.061631985	1.2718279	-0.33345997	-0.115277596	0.17941503	0.0021082046
pin_26	2080.4996977633605	2743.496628477176	8.756055	54.495403000000024	java.awt.Color[r=0,g=0,b=255]	Pin 26		0.006501306	0.10215829	0.2423963	0.024373686	0.04912611	0.064261794	0.10538308	0.023116635	0.21877098	0.009429197	1.1254672	-0.13489643	-0.11051378	0.19581568	0.0027199285
pin_27	2173.5014317408745	2663.5013816974124	8.799026000000001	54.51705000000001	java.awt.Color[r=0,g=0,b=255]	Pin 27		0.0064333715	0.14285582	0.19505054	0.0368236	0.064076215	0.08232438	0.12222108	0.03788815	0.26862168	0.10825046	1.2590519	-0.36730233	-0.1132898	0.18998432	0.0017883024
pin_28	1849.4998521477255	2792.4924811317896	8.649173999999999	54.48192999999999	java.awt.Color[r=0,g=0,b=255]	Pin 28		0.004761515	0.14603367	0.2044482	0.038864568	0.063336365	0.081941694	0.12405795	0.06102764	0.26933601	0.31171936	1.0148604	-0.32657972	-0.08467264	0.20055361	0.002901899
pin_34	2056.4996164803374	3539.4915323362375	8.746266	54.28076600000001	java.awt.Color[r=0,g=0,b=255]	Pin 34		0.0055362396	0.09775865	0.26024812	0.026363632	0.04772295	0.06094522	0.10382684	0.0803148	0.21249501	0.5869808	0.3670822	0.045937013	-0.031585228	0.20419823	0.0020675133
pin_35	2070.499925542745	3557.49596562637	8.752746	54.27592499999995	java.awt.Color[r=0,g=0,b=255]	Pin 35		0.0042060595	0.09857703	0.23875476	0.02391447	0.046243243	0.063521944	0.10336763	0.05332298	0.21313281	0.2943254	0.7372607	-0.03158611	-0.06722817	0.18974136	0.0029984214
pin_36	2099.500035281749	3747.492611360581	8.7663965	54.224723999999995	java.awt.Color[r=0,g=0,b=255]	Pin 36		0.003955541	0.087046996	0.17727688	0.028863816	0.04989148	0.06617521	0.09469351	0.029009935	0.2107602	0.08183231	0.9881678	-0.07000016	-0.088236935	0.13580146	0.0014432702
pin_37	1971.4993410850661	3689.5060021627073	8.707387	54.24023	java.awt.Color[r=0,g=0,b=255]	Pin 37		0.0030730646	0.10202031	0.17342883	0.033634588	0.05430507	0.072094016	0.10234714	0.046613295	0.22874624	0.23368573	0.8932008	-0.12688653	-0.07487084	0.14406252	0.0024691238
pin_41	2032.5003833972091	3989.495620076886	8.735983	54.159409999999966	java.awt.Color[r=0,g=0,b=255]	Pin 41		0.0045121033	0.086435996	0.18815547	0.026669776	0.048615873	0.06477204	0.094795555	0.04885836	0.20818347	0.26826057	0.7362804	-0.0045409612	-0.06171037	0.14296913	0.0012000629
pin_42	1859.5015169869991	4036.492357800839	8.656608999999996	54.146538	java.awt.Color[r=0,g=0,b=255]	Pin 42		0.004867628	0.13777843	0.15171392	0.04121168	0.06693357	0.086789	0.117833	0.054598585	0.27155557	0.2776239	1.0547938	-0.3324177	-0.08494683	0.14782862	0.004707747
pin_49	2054.5014399606775	4595.503495153505	8.747086	53.996033	java.awt.Color[r=0,g=0,b=255]	Pin 49		0.005544571	0.101352185	0.21317667	0.02467983	0.04971289	0.06727222	0.1037248	0.04694495	0.22070992	0.23584823	0.8417629	-0.07761112	-0.076276	0.17358372	0.0021771796
pin_50	1969.5003722719732	4487.500840612408	8.707984	54.02506600000001	java.awt.Color[r=0,g=0,b=255]	Pin 50		0.0047673266	0.092970654	0.18636964	0.0277668	0.05065684	0.067374274	0.09823969	0.053986296	0.2162708	0.314837	0.71883607	-0.033673096	-0.05944841	0.14697818	0.0013487234
pin_51	2007.498514034308	4190.506579865298	8.724856	54.105185999999975	java.awt.Color[r=0,g=0,b=255]	Pin 51		0.0041550808	0.1054547	0.19019458	0.02478188	0.050223134	0.071303144	0.104796305	0.0438835	0.22632259	0.1925237	0.9209384	-0.11346208	-0.081828065	0.15949126	0.002998099
pin_54	2065.501330196473	4702.4977569494085	8.752291	53.967194	java.awt.Color[r=0,g=0,b=255]	Pin 54		0.0071260575	0.11920267	0.19480072	0.030241473	0.057953306	0.07523201	0.111633554	0.04480193	0.24481887	0.2081081	0.998369	-0.20647709	-0.08977918	0.17334072	0.0012120622
pin_66	2330.5	3599.5	8.872568127937932	54.26478578159341	java.awt.Color[r=0,g=0,b=255]	Pin 66		0.005105743	0.08935726	0.22283089	0.02478188	0.046983093	0.062144294	0.09778047	0.06454831	0.20690787	0.4474909	0.50354886	0.048960257	-0.04464288	0.16969611	0.0019287884
pin_56	1110.4999999999611	1598.5	8.301516062216969	54.80233977940295	java.awt.Color[r=0,g=0,b=255]	Pin 56		0.011930309	0.27319226	0.44253063	0.030190451	0.061142318	0.07176236	0.18569523	0.044699885	0.3185999	0.11477423	1.5745631	-0.6893373	-0.18940806	0.5425375	0.017435368
pin_57	1119.4999999999688	1653.5000000001862	8.30596999897198	54.787536868012104	java.awt.Color[r=0,g=0,b=255]	Pin 57		0.01211402	0.31474787	0.37827042	0.041084126	0.07461272	0.08788601	0.19482857	0.10319917	0.3573273	0.62326837	1.1231642	-0.74643254	-0.12309162	0.50925034	0.012730289
pin_38	2206.4999792334156	3671.4960043849114	8.815540999999998	54.24529999999999	java.awt.Color[r=0,g=0,b=255]	Pin 38		0.0041850414	0.087995745	0.20381486	0.027868843	0.048437282	0.063675016	0.09627526	0.07656452	0.20838755	0.5727431	0.35408857	0.073168345	-0.026478698	0.15523928	0.0021822064
pin_43	2409.4996338563174	4145.494636389862	8.909278	54.11760300000001	java.awt.Color[r=0,g=0,b=255]	Pin 43		0.0066355243	0.09042979	0.28127763	0.020342773	0.043513447	0.0564806	0.10068885	0.061537884	0.20068291	0.39027712	0.5496994	0.060023446	-0.052593995	0.2105155	0.004376622
pin_44	2550.5001010552264	4373.501772166509	8.974030499999998	54.056156	java.awt.Color[r=0,g=0,b=255]	Pin 44		0.0034402274	0.099898495	0.22780485	0.02615953	0.047442317	0.065154724	0.10359724	0.10100512	0.21619427	0.78947455	0.12057356	0.089951925	-0.0034821557	0.18305962	0.0025321303
